Best_Mag	Petro_Mag_g	Difference	My_RA	CSC_RA	My_DEC	CSC_DEC
18	17	0	114	212	15	9
18	17	0	114	214	15	8
18	17	0	114	219	15	7
18	17	0	114	219	15	15
18	17	0	114	220	15	6
18	17	0	114	165	15	12
18	17	0	114	167	15	9
18	17	0	114	154	15	12
18	17	0	114	157	15	6
18	17	0	114	164	15	13
18	17	0	114	146	15	15
18	17	0	114	148	15	6
18	17	0	114	149	15	12
18	17	0	114	150	15	8
18	17	0	114	150	15	5
18	17	0	114	159	15	9
18	17	0	114	139	15	6
18	17	0	114	140	15	13
18	17	0	114	145	15	15
18	17	0	114	146	15	8
18	17	0	114	159	15	11
18	17	0	114	169	15	6
18	17	0	114	180	15	13
18	17	0	114	158	15	13
18	17	0	114	164	15	15
18	17	0	114	169	15	13
18	17	0	114	169	15	15
18	17	0	114	169	15	12
18	17	0	114	171	15	14
18	17	0	114	181	15	9
18	17	0	114	148	15	13
18	17	0	114	166	15	11
18	17	0	114	168	15	15
18	17	0	114	176	15	14
18	17	0	114	177	15	10
18	17	0	114	137	15	15
18	17	0	114	141	15	12
18	17	0	114	150	15	10
18	17	0	114	150	15	8
18	17	0	114	150	15	15
18	17	0	114	151	15	5
18	17	0	114	152	15	4
18	17	0	114	163	15	12
18	17	0	114	178	15	15
18	17	0	114	193	15	5
18	17	0	114	194	15	7
18	17	0	114	197	15	15
18	17	0	114	209	15	9
18	17	0	114	215	15	8
18	17	0	114	217	15	12
18	17	0	114	208	15	15
18	17	0	114	208	15	14
18	17	0	114	218	15	5
18	17	0	114	208	15	9
18	17	0	114	209	15	7
18	17	0	114	220	15	9
18	17	0	114	220	15	14
18	17	0	114	221	15	14
18	17	0	114	219	15	7
18	17	0	114	237	15	4
18	17	0	114	171	15	14
18	17	0	114	171	15	11
18	17	0	114	209	15	4
18	17	0	114	211	15	10
18	17	0	114	173	15	12
18	17	0	114	198	15	15
18	17	0	114	208	15	13
18	17	0	114	208	15	6
18	17	0	114	208	15	13
18	17	0	114	209	15	12
18	17	0	114	169	15	12
18	17	0	114	177	15	8
18	17	0	114	195	15	6
18	17	0	114	208	15	8
18	17	0	114	209	15	12
18	17	0	114	209	15	14
18	17	0	114	209	15	14
18	17	0	114	216	15	10
18	17	0	114	211	15	11
18	17	0	114	232	15	14
18	17	0	114	217	15	12
18	17	0	114	218	15	5
18	17	0	114	237	15	9
18	17	0	114	211	15	5
18	17	0	114	139	15	10
18	17	0	114	148	15	5
18	17	0	114	150	15	5
18	17	0	114	151	15	15
18	17	0	114	151	15	13
18	17	0	114	152	15	6
18	17	0	114	152	15	8
18	17	0	114	152	15	8
18	17	0	114	153	15	9
18	17	0	114	162	15	12
18	17	0	114	144	15	13
18	17	0	114	146	15	15
18	17	0	114	148	15	13
18	17	0	114	165	15	4
18	17	0	114	140	15	11
18	17	0	114	157	15	13
18	17	0	114	160	15	4
18	17	0	114	130	15	9
18	17	0	114	165	15	12
18	17	0	114	123	15	6
18	17	0	114	125	15	11
18	17	0	114	128	15	10
18	17	0	114	146	15	10
18	17	0	114	153	15	11
18	17	0	114	154	15	10
18	17	0	114	154	15	14
18	17	0	114	155	15	5
18	17	0	114	163	15	15
18	17	0	114	129	15	4
18	17	0	114	129	15	9
18	17	0	114	129	15	13
18	17	0	114	135	15	9
18	17	0	114	135	15	15
