ObsID	Target	My RA	CSC RA	My DEC	CSC DEC
19318	NGC2513	  120.602800	  120.602917	    9.413560	  120.602917
1587	NGC3379	  161.956670	  161.958333	   12.581640	  161.958333
4692	NGC 3384	  161.956670	  162.070833	   12.581640	  162.070833
7073	NGC3379	  161.956670	  161.957083	   12.581640	  161.957083
7074	NGC3379	  161.956670	  161.957083	   12.581640	  161.957083
7075	NGC3379	  161.956670	  161.957083	   12.581640	  161.957083
7076	NGC3379	  161.956670	  161.957083	   12.581640	  161.957083
11782	NGC3384	  161.956670	  162.070417	   12.581640	  162.070417
13829	NGC 3384	  161.956670	  162.070417	   12.581640	  162.070417
394	NGC 3627	  170.062430	  170.062083	   12.991520	  170.062083
1637	NGC 3623	  170.062430	  169.731667	   12.991520	  169.731667
2039	NGC 3628	  170.062430	  170.070833	   12.991520	  170.070833
9548	NGC 3627	  170.062430	  170.062917	   12.991520	  170.062917
2934	NGC3377	  161.645640	  161.924167	   13.750859	  161.924167
12808	NGC 3367	  161.645640	  161.645833	   13.750859	  161.645833
24764	RX J0859.1+0537	  134.710290	  134.788250	    6.293000	  134.788250
22973	SDSS J143029.88+133912.0	  217.242630	  217.624458	   13.861880	  217.624458
23243	SDSS J143029.88+133912.0	  217.242630	  217.624458	   13.861880	  217.624458
18149	Teacup AGN	  217.712440	  217.624583	   13.968520	  217.624583
22589	SDSS J143029.88+133912.0	  217.712440	  217.624458	   13.968520	  217.624458
22972	SDSS J143029.88+133912.0	  217.712440	  217.624458	   13.968520	  217.624458
22973	SDSS J143029.88+133912.0	  217.712440	  217.624458	   13.968520	  217.624458
23088	SDSS J143029.88+133912.0	  217.712440	  217.624458	   13.968520	  217.624458
9154	SDSS J102258.41+123429.7	  155.933170	  155.743333	   12.567770	  155.743333
23777	NSA 104881	  120.346380	  120.119000	   15.369260	  120.119000
15386	ngc5248	  204.383420	  204.383333	    8.885180	  204.383333
10269	SDSSJ094426.96+042956.8	  146.514760	  146.112083	    4.403450	  146.112083
23777	NSA 104881	  119.917160	  120.119000	   15.386820	  120.119000
14932	NGC 5373	  209.030040	  209.281250	    5.254770	  209.281250
19318	NGC2513	  120.378210	  120.602917	    9.707640	  120.602917
15161	ZwCl 1665	  125.671650	  125.797917	    4.262430	  125.797917
25056	AT2019avd	  125.671650	  125.903198	    4.262430	  125.903198
